class_number; class_duration_minutes; class_description; total_hours_to_this_point; course_percentage_to_this_point; 
1; 3;  What You'll Get in This Course; 3min; 0.07 %; 
2; 1;  Download the Course Syllabus; 4min; 0.1 %; 
3; 1;  Download the Course Resources; 5min; 0.12 %; 
4; 1;  Download the 12 Rules to Learn to Code eBook [Latest Edition]; 6min; 0.15 %; 
5; 6;  How Does the Internet Actually Work?; 12min; 0.3 %; 
6; 6;  How Do Websites Actually Work?; 18min; 0.45 %; 
7; 10;  How to Get the Most Out of the Course; 28min; 0.7 %; 
8; 5;  What You'll Need to Get Started - Setup Your Local Web Development Environment; 33min; 0.83 %; 
9; 3;  Setup Packages; 36min; 0.9 %; 
10; 7;  How to Get Help When You're Stuck; 43min; 1.07 %; 
11; 2;  Pathfinder; 45min; 1.12 %; 
12; 11;  Introduction to HTML; 56min; 1.4 %; 
13; 11;  The Anatomy of an HTML Tag; 1hr 7min; 1.68 %; 
14; 3;  What we're building - HTML Personal Site; 1hr 10min; 1.75 %; 
15; 17;  What is The HTML Boilerplate?; 1hr 27min; 2.17 %; 
16; 11;  How to Structure Text in HTML; 1hr 38min; 2.45 %; 
17; 5;  HTML Lists; 1hr 43min; 2.57 %; 
18; 8;  HTML Image Elements; 1hr 51min; 2.77 %; 
19; 12;  HTML Links and Anchor Tags; 2hr 3min; 3.08 %; 
20; 1;  How to Ace this Course; 2hr 4min; 3.1 %; 
21; 12;  HTML Tables; 2hr 16min; 3.4 %; 
22; 2;  Using HTML Tables for Layout; 2hr 18min; 3.45 %; 
23; 2;  HTML Tables Code Challenge; 2hr 20min; 3.5 %; 
24; 1;  How to Type Emojis; 2hr 21min; 3.52 %; 
25; 7;  HTML Tables Solution Walkthrough; 2hr 28min; 3.7 %; 
26; 9;  HTML Forms; 2hr 37min; 3.92 %; 
27; 10;  Forms in Practice - Create a Contact Me Form; 2hr 47min; 4.17 %; 
28; 10;  Publish Your Website!; 2hr 57min; 4.42 %; 
29; 3;  Tip from Angela - Habit Building with the Calendar Trick; 3hr; 4.5 %; 
30; 1;  Get Monthly Tips and Tools to Level Up as a Developer; 3hr 1min; 4.52 %; 
31; 3;  Introduction to CSS; 3hr 4min; 4.6 %; 
32; 11;  Inline CSS; 3hr 15min; 4.88 %; 
33; 22;  Internal CSS; 3hr 37min; 5.42 %; 
34; 8;  External CSS; 3hr 45min; 5.62 %; 
35; 15;  How to Debug CSS Code; 4hr; 6 %; 
36; 14;  The Anatomy of CSS Syntax; 4hr 14min; 6.35 %; 
37; 6;  CSS Selectors; 4hr 20min; 6.5 %; 
38; 12;  Classes vs. Ids; 4hr 32min; 6.8 %; 
39; 2;  Tip from Angela - Dealing with Distractions; 4hr 34min; 6.85 %; 
40; 1;  Join the Student Community; 4hr 35min; 6.88 %; 
41; 5;  What We'll Make - Stylised Personal Site; 4hr 40min; 7 %; 
42; 4;  What Are Favicons?; 4hr 44min; 7.1 %; 
43; 14;  HTML Divs; 4hr 58min; 7.45 %; 
44; 20;  The Box Model of Website Styling; 5hr 18min; 7.95 %; 
45; 15;  CSS Display Property; 5hr 33min; 8.33 %; 
46; 1;  Learn More About Web Design; 5hr 34min; 8.35 %; 
47; 15;  CSS Static and Relative Positioning; 5hr 49min; 8.72 %; 
48; 12;  Absolute positioning; 6hr 1min; 9.03 %; 
49; 9;  The Dark Art of Centering Elements with CSS; 6hr 10min; 9.25 %; 
50; 14;  Font Styling in Our Personal Site; 6hr 24min; 9.6 %; 
51; 1;  Learn More About Typography; 6hr 25min; 9.62 %; 
52; 7;  Adding Content to Our Website; 6hr 32min; 9.8 %; 
53; 16;  CSS Sizing; 6hr 48min; 10.2 %; 
54; 1;  Font Properties Challenge 1 - Change the Colours; 6hr 49min; 10.22 %; 
55; 1;  Font Properties Challenge 2 - Change the Font Weight; 6hr 50min; 10.25 %; 
56; 1;  Font Properties Challenge 3 - Change the Line Height; 6hr 51min; 10.27 %; 
57; 4;  CSS Font Property Challenge Solutions; 6hr 55min; 10.38 %; 
58; 17;  CSS Float and Clear; 7hr 12min; 10.8 %; 
59; 1;  CSS Challenge; 7hr 13min; 10.82 %; 
60; 21;  Stylised Personal Site Solution Walkthrough; 7hr 34min; 11.35 %; 
61; 1;  [Optional] Get More Practice HTML and CSS; 7hr 35min; 11.38 %; 
62; 4;  Tip from Angela - Nothing Easy is Worth Doing!; 7hr 39min; 11.47 %; 
63; 16;  What is Bootstrap?; 7hr 55min; 11.88 %; 
64; 8;  Installing Bootstrap; 8hr 3min; 12.07 %; 
65; 12;  Web Design 101 - Wireframing; 8hr 15min; 12.38 %; 
66; 21;  The Bootstrap Navigation Bar; 8hr 36min; 12.9 %; 
67; 1;  What We'll Make: TinDog; 8hr 37min; 12.93 %; 
68; 1;  Download the Starting Files; 8hr 38min; 12.95 %; 
69; 7;  Setting Up Our New Project; 8hr 45min; 13.12 %; 
70; 20;  Bootstrap Grid Layout System; 9hr 5min; 13.63 %; 
71; 1;  Getting Montserrat Black and other Font Weights; 9hr 6min; 13.65 %; 
72; 10;  Adding Grid Layouts to Our Website; 9hr 16min; 13.9 %; 
73; 1;  A Note About CSS Link Order; 9hr 17min; 13.93 %; 
74; 6;  Bootstrap Containers; 9hr 23min; 14.07 %; 
75; 12;  Bootstrap Buttons & Font Awesome; 9hr 35min; 14.37 %; 
